address,amount,sent
0xb2871c2ab50942c3f60ecb33a17ff8492d3c7a9a,1000000,true
0x259748ac4941acc2bfa372f5fa240c3b8236d70a,1000000,true
0xeba121e688ff299a4cff5f2402cf28566195113b,1000000,true
0xe9263235ba3a113f081b1e3ae28b686950553c04,1000000,true
0x1df919d7cf2d9bb62cd46aec1b1bed9bb3e8a202,1000000,true
0x004c01bf15cac0f93b1ea7a24f416b0daf3cdcef,1000000,true
0x5502662d0c6401e81de66d0b4980dd9e2da61642,1000000,true
0xe0e6694ebd65d2691f5a67b0429d936020814e35,1000000,true
0xc2d69220817e3a958b4ab408895522e50aba50dd,1000000,true
0xfc5cfff46f115395ea71b6847507141a566f6f1f,1000000,true
0xd63e1a8ff9da6d16ca70b7aee9b586a1a9ba3cf5,1000000,true
0x9ca5cad58ceb4b57fb7a5ffbe1e51d5a99fa5226,1000000,true
0xcbb88411bdef7b877c16e68ea2b548d32e200266,1000000,true
0xc41ba71a5b12ab2be9dce1418145c1bd78cf85b8,1000000,true
0x83ec78a76d04ecc157e906a0b5b7692af64004dc,1000000,true
0x69d623f1a2568df4f43978c763555797b03f9159,1000000,true
0xed942253381223ef24778c5be445daa4d2c11e69,1000000,true
0x0e0838371093a5161f136b11f8e2280f8cf90cbd,1000000,true
0x782e043b48cf52c4d3c346ed77ff33201772e8e5,1000000,true
0x5c9bc3aaa7f44407c9a663934055049aa2a3d860,1000000,true
0x4a9e418c7c1404e2edc987d9733b7d204068384a,1000000,true
0xdb8436e8ac42ca0ee874924118fc20b5cdd150e0,1000000,true
0x75b9c3c9afe904d884b56885d76bfc7b1e62ed00,1000000,true
0xaacc075aa8ec90c4cbc5866fd922188097d3e994,1000000,true
0xefde6a97af618ad407211c3d5d494bc257948208,1000000,true
0x0604b9f31820391f308f937de7f693db10211f6a,1000000,true
0x892d3b5679637459fe77ddb29eca9c0a358f9c3e,1000000,true
0xcfae57e51d98388226a2f8b1a0680c6110d0c57e,1000000,true
0x9b7519e5f7f7dd9d8e5c9fcce0d6fb19af224325,1000000,true
0x176061ddfda0ffcb1cb655549687d0cf3ef714ec,1000000,true
0xbd6f5bdc401ab1ca811e40755f4a2ddad75ce2cc,1000000,true
0x31dc7cd66e2430c0b5099f103a84d5de638d7beb,1000000,true
0x3ad34b9dfaeefaed3cdb2c60ea93eae60463dedf,1000000,true
0xb8b6a046af857e873ffda67345e2e99c95d7c8f1,1000000,true
0x14c7db0bf796060da7212c0f851ce62a47805502,1000000,true
0x9b5ab3de2e1df0f9d3fe11f6e73b9b971a6e5997,1000000,true
0xdbcffe14581bb147bd6607ca83d4c5a9f26ab130,1000000,true
0x4033fa14e9c72b8ab023911848b4041676d6f279,1000000,true
0xf331f8cbcd9100292258d2a1986a4a2e7435e453,1000000,true
0xe16cfb44307f35b31b4cadfe7fa8da91414e9c2a,1000000,true
0x72bf07f4a11e9657f56250b560be11a63ca16757,1000000,true
0xab71a525c9a7f0d9c3310654d6b4d59742ea2904,1000000,true
0xa442124b05b010208bca9c0bdeea8b18ef94f401,1000000,true
0xd41f13814dfbb7e3d622af2ecbde0b368c054676,1000000,true
0x548888681dd1cc643ff7cb560a197d6be716a5c4,1000000,true
0x8b2180c8eebb9edfcc1f532ab8efe51eba6b5253,1000000,true
0xf91dbf8b768471f757e6f053c8a1c2fa6c2486a7,1000000,true
0xa8204bd4ee832e2fbf87b35b51a3dba7bf8b5787,1000000,true
0x406b0586ae5bdff43678780356ab69d842c5b147,1000000,true
0x0afb37dc75a138417031a022c4deb723963488d0,1000000,true
0x96ddb95f8bdb5fc166d547bb416ede4a9c9a8963,1000000,true
0x2f108bbd7e05cb6a360eff8ff77b4e9d098a51ef,1000000,true
0x0ee886c1f9e13f9a9bf8081c8feb6166ed7c0181,1000000,true
0x0a21e784d768f7468346158d07a809e9b9bd9f85,1000000,true
0xc8aec25691ce21dcc905855c1162bf0bdce8cd55,1000000,true
0x1681b85c13ee6b46bbcd7f95c68c74f4ddf54b49,1000000,true
